company_id	company_name	deal_id	company_role	company_type	title	associated_company	associated_company_id	status	deal_type	date_start	most_recent_event_date	max_projected_value_principal_acc	max_projected_value_principal	max_projected_value_partner_acc	max_projected_value_partner
1118745	AbCellera Biologics	341128	Principal	ancestor	AbCellera and RQ Bio to develop antibody therapies for infectious diseases including influenza and CMV infection	RQ Biotechnology Ltd	1285825	Active	Drug - Development/Commercialization License	2023-03-22		Payment Unspecified	0.0	Unknown	0.0
1118745	AbCellera Biologics	328706	Principal	ancestor	AbbVie to deploy AbCellera antibody discovery and development engine to deliver optimized development candidates for selected targets across several indications	AbbVie Inc	1072507	Active	Drug - Discovery/Design	2022-12-15		Payment Unspecified	0.0	Unknown	0.0
1118745	AbCellera Biologics	328104	Principal	ancestor	AbCellera and Rallybio to discover, develop, and commercialize antibody based therapeutics for rare metabolic and other diseases	Rallybio Corp	1163805	Active	Drug - Development/Commercialization License	2022-12-01		Payment Unspecified	0.0	Unknown	0.0
1118745	AbCellera Biologics	326680	Principal	ancestor	AbCellera and Regeneron to discover therapeutic antibodies against undisclosed targets	Regeneron Pharmaceuticals Inc	19214	Active	Drug - Discovery/Design	2020-03-31		Payment Unspecified	0.0	Unknown	0.0
1118745	AbCellera Biologics	321805	Principal	ancestor	AbCellera and Atlas Venture to discover, develop and commercialize therapeutic antibodies	Atlas Venture	1124505	Active	Drug - Development/Commercialization License	2022-08-03		Payment Unspecified	0.0	Unknown	0.0
1118745	AbCellera Biologics	321454	Principal	ancestor	AbCellera and Versant Ventures to discover and develop therapeutic antibodies for multiple targets	Versant Ventures	1140701	Active	Drug - Development/Commercialization License	2022-07-27		Payment Unspecified	0.0	Unknown	0.0
1118745	AbCellera Biologics	303562	Principal	ancestor	Everest Medicines and AbCellara’s to discover therapeutic antibodies against multiple indications including oncology	Everest Medicines Ltd	1157539	Active	Drug - Development/Commercialization License	2021-09-22		Payment Unspecified	0.0	Unknown	0.0
1118745	AbCellera Biologics	302445	Principal	ancestor	Moderna and AbCellera to develop mRNA-encoded antibody therapeutics across multiple indications	Moderna Inc	1060964	Active	Drug - Development/Commercialization License	2021-09-15		Payment Unspecified	0.0	Unknown	0.0
1118745	AbCellera Biologics	297930	Principal	ancestor	Tachyon and AbCellera to discover and develop a therapeutic antibody targeting LEFTY1 for cancer	Tachyon Therapeutics Inc	1240548	Active	Drug - Development/Commercialization License	2021-08-03		Payment Unspecified	0.0	Unknown	0.0
1118745	AbCellera Biologics	284454	Principal	ancestor	IGM and AbCellera to discover and develop novel IgM antibodies for oncology and immunology disorders	IGM Biosciences Inc	1014332	Active	Drug - Development/Commercialization License	2020-09-24		Payment Unspecified	0.0	Unknown	0.0
1118745	AbCellera Biologics	268504	Principal	ancestor	Government of Canada to award funding AbCellera to develop antibody-based drugs to treat and prevent COVID-19    	Federal Government of Canada	15300	Active	Drug - Funding	2020-03-23		=	351.2	Unknown	0.0
1118745	AbCellera Biologics	268043	Principal	ancestor	AbCellera and Lilly to develop antibodies for the treatment of COVID-19	Eli Lilly & Co	17810	Active	Drug - Development/Commercialization License	2020-03-12		Payment Unspecified	0.0	Unknown	0.0
1118745	AbCellera Biologics	267298	Principal	ancestor	AbCellera to provide antibody discovery platform to Invetx for accelerating preclinical activities	Invetx	1206367	Active	Technology - Other Proprietary	2020-02-24		Payment Unspecified	0.0	Unknown	0.0
1118745	AbCellera Biologics	256617	Principal	ancestor	Gilead to use AbCellera's expertise in single-cell screening for the discovery of therapeutic antibody candidates against infectious diseases	Gilead Sciences Inc	16450	Active	Drug - Discovery/Design	2019-06-13		Payment Unspecified	0.0	Unknown	0.0
1118745	AbCellera Biologics	254211	Principal	ancestor	Bill and Melinda Gates Foundation to fund AbCellera to accelerate worldwide health research for the prevention and treatment infectious diseases	Bill & Melinda Gates Foundation	1032580	Active	Drug - Funding	2019-03-14		=	9.6	Unknown	0.0
1118745	AbCellera Biologics	253489	Principal	ancestor	AbCellera and Novartis to develop therapies against ten targets using antibody discovery and single-cell screening technology	Novartis AG	23137	Active	Drug - Discovery/Design	2019-02-14		Payment Unspecified	0.0	Unknown	0.0
1118745	AbCellera Biologics	251694	Principal	ancestor	AbCellera and Autolus to discover antibodies for the development of CAR T cell therapies against Refractory (or relapsed) B cell leukemia	Autolus Therapeutics Ltd	1105192	Active	Drug - Discovery/Design	2018-11-29		Payment Unspecified	0.0	Unknown	0.0
1118745	AbCellera Biologics	247465	Principal	ancestor	AbCellera and Denali to discover mAbs with specific binding properties against a genetically-validated target for neurodegenerative disease 	Denali Therapeutics Inc	1109113	Active	Drug - Discovery/Design	2018-06-12		Payment Unspecified	0.0	Unknown	0.0
1118745	AbCellera Biologics	245960	Principal	ancestor	DARPA to award AbCellera funding to develop and establish a pandemic response platform in virology, antibody discovery and gene therapy 	Defense Advanced Research Projects Agency	24810	Active	Drug - Funding	2018-03-13		=	60.0	Unknown	0.0
1118745	AbCellera Biologics	245272	Principal	ancestor	AbCellera to generate antibodies against membrane target for undisclosed company 	Undisclosed		Active	Drug - Discovery/Design	2018-01-25		>	144.0	Unknown	0.0
1118745	AbCellera Biologics	324080	Partner	ancestor	EQRx and AbCellera to discover and develop therapeutic antibodies	EQRx Inc	1203707	Active	Technology - Other Proprietary	2021-08-04		Payment Unspecified	0.0	Unknown	0.0
1118745	AbCellera Biologics	304880	Partner	ancestor	AbCellera to use Salipro Biotech’s platform for antibody discovery against GPCRs, ion channels, and transporters	Salipro Biotech Ab	1160899	Active	Drug - Development/Commercialization License	2021-10-12		Payment Unspecified	0.0	Unknown	0.0
1118745	AbCellera Biologics	283534	Partner	ancestor	AbCellera to evaluate bamlanivimab in combination with Vir Biotechnology's VIR-7831 for the treatment of COVID-19 infection	Vir Biotechnology Inc	1141946	Active	Drug - Early Research/Development	2021-01-27		Payment Unspecified	0.0	Unknown	0.0
1118745	AbCellera Biologics	283144	Partner	ancestor	AbCellera to acquire IP rights related to Trianni Mouse technology for antibody based therapeutic discovery programs	Trianni Inc	1082713	Active	Patent - Exclusive Rights	2021-01-19		Payment Unspecified	0.0	Unknown	0.0
1118745	AbCellera Biologics	278795	Partner	ancestor	AbCellera Biologics and aTyr Pharma to conduct research on isolation of monoclonal antibodies from anti-synthetase syndrome patients	aTyr Pharma Inc	1031876	Active	Drug - Early Research/Development	2020-11-11		Payment Unspecified	0.0	Unknown	0.0
1118745	AbCellera Biologics	275557	Partner	ancestor	AbCellera acquires Dualogics' OrthoMab platform to discover IgG-like bispecific antibodies from any two antibody sequences 	Dualogics LLC	1153737	Completed	Technology - Asset Divestment	2020-08-20		Payment Unspecified	0.0	Unknown	0.0
1118745	AbCellera Biologics	274040	Partner	ancestor	AbCellera to use Alloy's ATX-Gx humanized mice platform for antibody discovery programs	Alloy Therapeutics LLC	1194869	Active	Technology - Other Proprietary	2020-07-21		Payment Unspecified	0.0	Unknown	0.0
1118745	AbCellera Biologics	271949	Partner	ancestor	AbCellera Biologics to use EpiVax’s ISPRI to evaluate preclinical immunogenicity screening	EpiVax Inc	1009858	Active	Technology - Other Proprietary	2020-06-08		Payment Unspecified	0.0	Unknown	0.0
1118745	AbCellera Biologics	255691	Partner	ancestor	AbCellera and Colorado State University to develop antibodies for MERS-CoV 	Colorado State University	20562	Active	Drug - Discovery/Design	2018-12-31		Payment Unspecified	0.0	Unknown	0.0
1118745	AbCellera Biologics	247262	Partner	ancestor	AbCellera and Harbour Antibodies to combine single-cell antibody discovery capabilities and H2L2 transgenic mouse platform for the discovery of antibody     	Harbour Antibodies	1057220	Active	Technology - Other Proprietary	2018-05-30		Payment Unspecified	0.0	Unknown	0.0
1118745	AbCellera Biologics	158251	Partner	ancestor	University of Massachusetts and AbCellera to discover human antibodies against E. Coli, Ebola Virus and K. pneumoniae infection 	University of Massachusetts Medical School	23247	Active	Drug - Discovery/Design	2016-01-20		Payment Unspecified	0.0	Unknown	0.0
1051398	Tetragenetics Inc	253774	Principal	subsidiary	Imbrium and TetraGenetics to discover and develop non-opioid monoclonal antibodies against ion channels using TetraExpress technology for chronic pain, with an option to further develop  	Imbrium Therapeutics LP	1181645	Active	Drug - Development/Commercialization License	2019-02-26		>	546.0	Unknown	0.0
1051398	Tetragenetics Inc	245600	Principal	subsidiary	Tetragenetics and undisclosed biotech company for the discovery of drug candidates using TetraExpress platform technology  	Undisclosed		Active	Drug - Discovery/Design	2018-02-13		=	600.0	Unknown	0.0
1051398	Tetragenetics Inc	238541	Principal	subsidiary	TetraGenetics to receive an investment from JDRF for its T1D program 	Juvenile Diabetes Research Foundation International	1034427	Active	Drug - Funding	2017-05-02		Payment Unspecified	0.0	Unknown	0.0
1051398	Tetragenetics Inc	162077	Principal	subsidiary	Tetragenetics and undisclosed pharmaceutical company to discover ion channel antibodies against pain          	Undisclosed		Active	Drug - Discovery/Design	2016-08-29		Payment Unspecified	0.0	Unknown	0.0
1051398	Tetragenetics Inc	160639	Principal	subsidiary	Tetragenetics and Theranyx to discover and develop monoclonal antibodies against pain and autoimmune disorders         	Theranyx	1111010	Active	Drug - Discovery/Design	2016-05-25		Payment Unspecified	0.0	Unknown	0.0
1051398	Tetragenetics Inc	158039	Principal	subsidiary	Heptares to develop and optimize GPCR expression for Tetragenetics' TetraExpress system 	Heptares Therapeutics Ltd	1037349	Active	Technology - Other Proprietary	2015-09-25		Payment Unspecified	0.0	Unknown	0.0
1051398	Tetragenetics Inc	158037	Principal	subsidiary	NIGMS to award Tetragenetics funding for the development engineered host strain using TetraExpress protein production platform  	National Institute of General Medical Sciences	1059667	Active	Drug - Funding	2015-09-25		=	3.078	Unknown	0.0
1051398	Tetragenetics Inc	157709	Principal	subsidiary	Sevion to use Tetragenetics's TetraExpress technology to generate proteins for development of mAbs against pain and autoimmune disorders 	Eloxx Pharmaceuticals Inc	30017	Active	Drug - Early Research/Development	2015-12-17		Payment Unspecified	0.0	Unknown	0.0
1051398	Tetragenetics Inc	157707	Principal	subsidiary	Crystal Bioscience to use Tetragenetics's TetraExpress technology to generate proteins for development of mAbs against pain and autoimmune disorders   	Crystal Bioscience Inc	1049546	Active	Drug - Early Research/Development	2015-12-17		Payment Unspecified	0.0	Unknown	0.0
1051398	Tetragenetics Inc	157706	Principal	subsidiary	arGEN-X to use Tetragenetics's TetraExpress technology to generate proteins for development of mAbs against pain and autoimmune disorders   	argenx SE	1041264	Active	Drug - Early Research/Development	2015-12-17		Payment Unspecified	0.0	Unknown	0.0
1051398	Tetragenetics Inc	152389	Principal	subsidiary	Tetragenetics to produce SionX-derived ion channel antigen for MedImmune antibody program	MedImmune LLC	18008	Active	Technology - Other Proprietary	2015-01-07		Payment Unspecified	0.0	Unknown	0.0
1051398	Tetragenetics Inc	148024	Principal	subsidiary	Bill & Melinda Gates Foundation to award Tetragenetics funding to develop antimalarial vaccine	Bill & Melinda Gates Foundation	1032580	Active	Drug - Funding	2014-01-03		Payment Unspecified	0.0	Unknown	0.0
1051398	Tetragenetics Inc	144629	Principal	subsidiary	Pfizer to use Tetragenetics' SionX technology for development of antibodies against ion channel antigens 	Pfizer Inc	18767	Active	Technology - Other Proprietary	2013-04-03		Payment Unspecified	0.0	Unknown	0.0
