Source	Target
1118745	1285825
1118745	1072507
1118745	1163805
1118745	19214
1118745	1124505
1118745	1140701
1118745	1157539
1118745	1060964
1118745	1240548
1118745	1014332
1118745	15300
1118745	17810
1118745	1206367
1118745	16450
1118745	1032580
1118745	23137
1118745	1105192
1118745	1109113
1118745	24810
1118745	1203707
1118745	1160899
1118745	1141946
1118745	1082713
1118745	1031876
1118745	1194869
1118745	1009858
1118745	20562
1118745	1057220
1118745	23247
1051398	1181645
1051398	1034427
1051398	1111010
1051398	1037349
1051398	1059667
1051398	30017
1051398	1049546
1051398	1041264
1051398	18008
1051398	1032580
1051398	18767
1051398	14109
1051398	20520
1051398	1187728
1051398	1054893
1051398	1132184
1051398	20579
1051398	20691
1093072	1065113
1093072	1019230
1093072	1077964
1093072	1037067
1093072	1009547
1208475	1068727
1080710	19446
1080710	1086183
1080710	1009547
1080710	18077
1080710	22676
1080710	21740
1080710	1068935
1080710	15331
1080710	1066856
1080710	1163991
1080710	1147610
1080710	1003240
1080710	1122083
1084743	1032000
1084743	20703
1084743	21864
1196876	15119
1196876	19453
1196876	1032764
1196876	1072877
1139692	1009547
1139692	1153465
1139692	1071218
1139692	18291
1139692	14455
1139692	1003431
1139692	1194794
1139692	1194608
1139692	20623
1139692	1060129
1139692	1013599
1139692	20563
1139692	14424
1139692	18767
1139692	1129756
1139692	20687
1139692	1171088
1139692	30796
1139692	20600
1139692	15615
1139692	1003628
1139692	20559
1139692	20614
1139692	1140786
1139692	1153077
1138966	1134859
1138966	1063610
1138966	1054893
1138966	22182
1138966	17810
1138966	25451
1138966	1132473
1138966	17421
1184789	20594
1184789	14109
1184789	1097673
1184789	19898
1184789	20289
1102582	1104143
1102582	17221
1102582	29927
1102582	1070009
1102582	1054439
1102582	1050885
1102582	20703
1102582	23382
1164801	1043519
1164801	19863
1164801	1123230
1164801	1042240
1164801	22123
1164801	22182
1164801	1122335
1164801	26997
1164801	1141056
1100779	18767
1100779	15615
27293	18008
27293	20518
27293	14455
27293	19862
27293	1008903
27293	1049810
27293	1002510
27293	25554
27293	16192
27293	18767
27293	19687
27293	22310
27293	18101
27293	1003855
27293	17002
27293	17724
27293	20954
27293	23382
27293	15065
27293	1014100
27293	20631
27293	1007298
27293	24056
27293	1009750
27293	21452
27293	20645
27293	24773
27293	1014359
1140964	25861
1140964	1088247
1194866	1013295
1194866	19446
1194866	14240
1194866	23137
1194866	1015280
1026417	27741
1026417	18614
1026417	1006427
1026417	1007259
1026417	1014227
1026417	1042758
1026417	1159139
1026417	1159138
1026417	1061569
1026417	23309
1026417	1042032
1026417	29469
1026417	1059962
1026417	1006631
1026417	1045729
1026417	1003255
1026417	1041981
1073911	1226750
1073911	20518
1073911	1073267
1073911	1060488
1073911	18077
1073911	24588
1073911	24244
1102412	1188227
1102412	1203707
1102412	15065
1102412	1157504
1102412	14455
1102412	1163805
1102412	1188175
1102412	15331
1102412	19446
1102412	28355
1102412	1009547
1102412	25829
1102412	1017117
1102412	19858
1102412	22182
1102412	20234
1102412	21102
1102412	1067538
1155639	21048
1155639	1208690
1155639	20526
1138780	20300
1138780	21048
1138780	1144222
1138780	1117615
1189253	1072507
1108263	1042113
1108263	1196408
1108263	14881
1108263	1140758
1108263	1108158
1108263	1124361
1108263	1046201
1108263	21072
1108263	1087713
1108263	1140756
1046215	21885
1046215	25829
1046215	1130027
1209718	1147303
1209718	1101959
1123826	1009547
1123826	1203707
1123826	1236307
1123826	1266187
1123826	1013295
1123826	14881
1123826	1018445
1123826	1012947
1123826	1053637
1123826	1171132
1123826	1272681
1123826	14609
1123826	1122990
1123826	1142674
1123826	1151323
1184745	1107189
1184745	16450
1106466	14778
1106466	1095288
1106466	1044425
1106466	1150319
1106466	1115021
1106466	1042135
1106466	22821
1106466	1100578
1106466	1008185
1106466	1047178
1106466	15872
1187485	1108254
1187485	18563
1187485	20686
1187485	1061958
1187485	1013295
1238098	21996
1238098	1025348
1154607	1092501
1154607	1151255
1096979	19446
1096979	1207987
1096979	1032580
1096979	20300
1096979	1041928
1096979	1043068
1096979	1003240
1096979	1060125
1096979	1072395
1096979	1059692
1096979	20690
1096979	20695
1096979	1127211
1096979	1093776
1096979	1130420
1096979	1138464
1096979	16299
1139125	1088675
1139125	22344
1129791	1203707
1129791	19453
1129791	1056444
1217171	19446
1023065	21885
1023065	17810
1023065	1013783
1023065	1180308
1023065	1101935
1023065	1201813
1023065	15065
1023065	1079742
1023065	1105437
1023065	14455
1023065	14190
1023065	1177352
1023065	1060303
1023065	18767
1023065	29411
1023065	1122629
1023065	18681
1023065	1118067
1023065	20300
1023065	1126198
1023065	1032764
1023065	14233
1023065	15921
1023065	1035705
1023065	1060168
1023065	1009858
1023065	21237
1023065	20559
1114113	20300
1114113	1091296
1146473	20520
1146473	1132473
1212881	1235570
1233509	14109
1248993	1152645
1205285	1319980
1208592	14109
1208592	23382
1010930	1187728
1010930	22542
1010930	20300
1010930	1194869
1010930	1265276
