company_id	company_name	company_type	drug_id	name	phase_highest	indications	technologies	therapy_areas	termination_phase
1118745	AbCellera Biologics	ancestor	160563	undisclosed G-protein coupled receptor targeted antibody (VelocImmune, undisclosed indication), AbCellera Biologics/Regeneron Pharmaceuticals	Discovery	['Unidentified indication']	['Biological therapeutic', 'Monoclonal antibody']	['Unknown']	
1118745	AbCellera Biologics	ancestor	129607	TTG-108	Discovery	['Pain', 'Peripheral neuropathy']	['Biological therapeutic', 'Monoclonal antibody']	['Neurology/Psychiatric']	
1118745	AbCellera Biologics	ancestor	111217	OmniAb program, TetraGenetics	Preclinical	['Unidentified indication']	['Biological therapeutic', 'Humanized antibody']	['Unknown']	
1118745	AbCellera Biologics	ancestor	108497	Kv1.3 ion channel mAbs (autoimmune disorder), Tetragenetics	Preclinical	['Autoimmune disease', 'Insulin dependent diabetes']	['Biological therapeutic', 'Monoclonal antibody humanized', 'Recombinant monoclonal antibody therapy']	['Endocrine/Metabolic', 'Immune']	
1118745	AbCellera Biologics	ancestor	105034	KCa3.1 ion channel targeting antibodies (autoimmune disorder), Tetragenetics	Discovery	['Autoimmune disease']	['Antibody therapy', 'Biological therapeutic', 'Parenteral formulation unspecified']	['Immune']	
1118745	AbCellera Biologics	ancestor	132905	bebtelovimab	Phase 2 Clinical	['Coronavirus disease 19 infection']	['Biological therapeutic', 'Immunoglobulin G isotype antibody', 'Intravenous formulation', 'Monoclonal antibody human']	['Infection']	
1118745	AbCellera Biologics	ancestor	122922	bamlanivimab	Launched	['Coronavirus disease 19 infection']	['Biological therapeutic', 'Human monoclonal antibody therapy', 'Infusion', 'Intravenous formulation', 'Monoclonal antibody human', 'Virus recombinant']	['Infection']	
1118745	AbCellera Biologics	ancestor	110952	monoclonal antibodies (neurodegenerative disease), AbCellera/ Denali	No Development Reported	[]	['Biological therapeutic', 'Monoclonal antibody']	['Neurology/Psychiatric']	Discovery
1118745	AbCellera Biologics	ancestor	102881	fully human antibodies (Ebola virus infection), AbCellera/MassBiologics	No Development Reported	[]	['Biological therapeutic', 'Monoclonal antibody human', 'Parenteral formulation unspecified']	['Infection']	Discovery
1118745	AbCellera Biologics	ancestor	102880	fully human antibodies (E coli infection), AbCellera/MassBiologics	No Development Reported	[]	['Biological therapeutic', 'Monoclonal antibody human', 'Parenteral formulation unspecified']	['Infection']	Discovery
